net,type,res,proportion_well_connected,mean_normalized_connectivity,proportion_small_clusters,proportion_disconnected,node_coverage_10,proportion_well_connected_10,min,max,mean,median,#clusters,#nodes
cen,gt,mod,1,3.212601064,0.205555556,0,0.986873333,,6,1000,120.7778091,33,24839,3000000
cen,gt,0.0001,0.999357626,2.953778118,0.452258232,0,0.838955,,7,1000,22.94191871,11,130765,3000000
cen,gt,0.001,0.984397991,2.940309971,0.684487799,0,0.689274,,5,998,14.47310656,8,207281,3000000
cen,gt,0.01,0.9200535,1.31237925,0,0.000354642,1,,24,450,30.39790862,28,98691,3000000
cen,gt,0.1,0,0.073075905,0,0.908117079,1,,14,168,16.76389727,15,178956,3000000
cen,gt,0.5,0,0,0,1,1,,58,986,100.0033334,78,29999,3000000
cen,leiden-lfr,mod,0.003713528,0.428470425,0,0,,,,,,,,3000000
cen,leiden-lfr,0.0001,0.000411896,0.558828342,0,0,,,,,,,,3000000
cen,leiden-lfr,0.001,0.157557626,0.707724507,0,0,,,,,,,,3000000
cen,leiden-lfr,0.01,0.770786494,1.205159304,0.000496238,0,,,,,,,,3000000
cen,leiden-lfr,0.1,0.999917988,1.633579929,0.999589938,0,,,,,,,,3000000
cen,leiden-lfr,0.5,1,3.322137399,0.999999309,0,,,,,,,,3000000
cen,leiden-orig,mod,0.260869565,0.978002143,0.25984252,0,0.999978627,0,,,,,,
cen,leiden-orig,0.0001,0.03854317,0.465382364,0.038370119,0,0.905260441,0.000176569,,,,,,
cen,leiden-orig,0.001,0.010666466,0.523638835,0.008349506,0,0.845067021,0.002336342,,,,,,
cen,leiden-orig,0.01,0.023436609,0.70412763,0.016884992,0,0.765792631,0.00666408,,,,,,
cen,leiden-orig,0.1,0.498339673,1.042328952,0.470759364,0,0.239848983,0.052111355,,,,,,
cen,leiden-orig,0.5,1,3.390227909,0.980521576,0,0.009647208,1,,,,,,
oc,gt,mod,1,11.09395016,0,0,1,,18,999,40.1520424,26,74716,3000000
oc,gt,0.0001,1,8.843186873,0,0,1,,15,820,21.58009452,18,139017,3000000
oc,gt,0.001,1,6.803612867,0,0,1,,18,738,24.86902314,22,120632,3000000
oc,gt,0.01,1,4.668585229,0,0,1,,28,599,36.10325531,32,83095,3000000
oc,gt,0.1,1,3.061640005,0,0,1,,37,451,45.21477016,42,66350,3000000
oc,gt,0.5,0.96548277,1.219906831,0,1.43E-05,1,,35,435,42.84306585,39,70023,3000000
oc,leiden-lfr,mod,0,0.502179583,0,0,,,,,,,,3000000
oc,leiden-lfr,0.0001,0.000195925,0.706553751,0,0,,,,,,,,3000000
oc,leiden-lfr,0.001,0.530351693,0.952957821,0,0,,,,,,,,3000000
oc,leiden-lfr,0.01,1,4.668585229,0,0,,,,,,,,3000000
oc,leiden-lfr,0.1,0.99842131,2.626679235,0.415898406,0,,,,,,,,3000000
oc,leiden-lfr,0.5,1,3.35815316,0.999746344,0,,,,,,,,3000000
oc,leiden-orig,mod,0.988298952,2.998528033,0.988141628,0,0.994201041,0.012820513,,,,,,
oc,leiden-orig,0.0001,0.931197827,2.700128724,0.931026862,0,0.918970513,0.002454717,,,,,,
oc,leiden-orig,0.001,0.727026486,2.225679749,0.723896688,0,0.905396473,0.01133252,,,,,,
oc,leiden-orig,0.01,0.388771589,1.472101653,0.362194112,0,0.889252536,0.041669911,,,,,,
oc,leiden-orig,0.1,0.979454478,1.822407493,0.84826067,0,0.437542341,0.8645998,,,,,,
oc,leiden-orig,0.5,1,3.642868359,0.985823271,0,0.059912141,1,,,,,,
cit_hepph,gt,mod,1,7.355668725,0,0,1,,15,3353,367.5106383,59.5,94,34546
cit_hepph,gt,0.0001,1,9.94026208,0,0,1,,18,1322,32.34644195,25,1068,34546
cit_hepph,gt,0.001,1,7.536561018,0,0,1,,13,2772,200.8488372,30,172,34546
cit_hepph,gt,0.01,1,7.769402613,0,0,1,,11,712,29.90995671,16,1155,34546
cit_hepph,gt,0.1,1,2.56230294,0,0,1,,159,318,227.2763158,224,152,34546
cit_hepph,gt,0.5,0.968641115,1.4313504,0,0,1,,80,159,120.369338,125,287,34546
cit_hepph,leiden-lfr,mod,0.757575758,4.123574447,0,0,,,,,,,,34546
cit_hepph,leiden-lfr,0.0001,0.333333333,0.902157119,0,0,,,,,,,,34546
cit_hepph,leiden-lfr,0.001,0.734513274,3.553881653,0,0,,,,,,,,34546
cit_hepph,leiden-lfr,0.01,1,7.365507983,0,0,,,,,,,,34546
cit_hepph,leiden-lfr,0.1,0.996616242,1.801293865,0.862885572,0,,,,,,,,34546
cit_hepph,leiden-lfr,0.5,1,3.362507922,0.999939486,0,,,,,,,,34546
cit_hepph,leiden-orig,mod,0.780487805,2.37309211,0.771084337,0,0.994905344,0,,,,,,34546
cit_hepph,leiden-orig,0.0001,0.950704225,2.746115525,0.947368421,0,0.958345395,0,,,,,,34546
cit_hepph,leiden-orig,0.001,0.827868852,2.432416118,0.825613079,0,0.94320616,0,,,,,,34546
cit_hepph,leiden-orig,0.01,0.580246914,1.752247386,0.530209618,0,0.914751346,0.105263158,,,,,,34546
cit_hepph,leiden-orig,0.1,0.973770492,2.177072664,0.730580138,0,0.632374226,0.902557856,,,,,,34546
cit_hepph,leiden-orig,0.5,1,3.955453035,0.954161162,0,0.162594801,1,,,,,,34546
cit_patents,gt,mod,1,4.621754273,0.478485059,0,0.822914415,,7,4950,22.018269,11,171438,3774768
cit_patents,gt,0.0001,0.999997049,4.659506518,0.720121685,0,0.530372992,,6,3388,11.13806442,8,338907,3774768
cit_patents,gt,0.001,1,3.275267193,0,0,1,,13,407,16.93427304,15,222907,3774768
cit_patents,gt,0.01,0.999827785,3.785873586,0.733024392,0,0.597001193,,5,802,11.81945649,7,319369,3774768
cit_patents,gt,0.1,0.997918216,2.699081503,0.703767854,2.48E-05,0.413218243,,8,256,10.39451466,9,363150,3774768
cit_patents,gt,0.5,0.845907214,1.893368312,0.988343129,0.146894633,0.047183032,,3,112,3.797534218,3,994005,3774768
cit_patents,leiden-lfr,mod,0.003796507,0.318410637,0.003793627,0,,,,,,,,3774768
cit_patents,leiden-lfr,0.0001,0.00277431,0.474696083,0,0,,,,,,,,3774768
cit_patents,leiden-lfr,0.001,0.050512718,0.651487929,0,0,,,,,,,,3774768
cit_patents,leiden-lfr,0.01,0.41047746,1.484449802,0.039528906,0,,,,,,,,3774768
cit_patents,leiden-lfr,0.1,0.996485818,2.629139942,0.737494845,0,,,,,,,,3774768
cit_patents,leiden-lfr,0.5,1,3.360357824,0.999998287,0,,,,,,,,3774768
cit_patents,leiden-orig,mod,0.974649407,2.607212469,0.974386627,0,0.997227909,0,,,,,,3774768
cit_patents,leiden-orig,0.0001,0.645589041,1.709532437,0.645079991,0,0.992618354,0.00123533,,,,,,3774768
cit_patents,leiden-orig,0.001,0.267182568,1.010499102,0.267003801,0,0.986795745,0.000231524,,,,,,3774768
cit_patents,leiden-orig,0.01,0.153839857,0.926299009,0.149366354,0,0.954827158,0.005257725,,,,,,3774768
cit_patents,leiden-orig,0.1,0.979304386,1.622558215,0.894269511,0,0.265672751,0.804257705,,,,,,3774768
cit_patents,leiden-orig,0.5,1,3.483618265,0.997678491,0,0.010573365,1,,,,,,3774768
wiki_topcats,gt,mod,1,4.689456973,0,0,1,,37,820,54.9654527,46,32593,1791489
wiki_topcats,gt,0.0001,1,4.70230981,0.268562605,0,0.980788607,,7,4890,115.2750145,19,15541,1791489
wiki_topcats,gt,0.001,0.999948396,3.943583666,0.449249187,0,0.926864748,,6,4742,46.22362412,12,38757,1791489
wiki_topcats,gt,0.01,0.999352402,3.430866564,0.701381791,0,0.672130836,,5,2490,13.97788025,7,128166,1791489
wiki_topcats,gt,0.1,0.992511803,2.46112459,0.854634396,0.000130269,0.335372977,,5,502,8.047404286,6,222617,1791489
wiki_topcats,gt,0.5,,,,,,,,,,,,
wiki_topcats,leiden-lfr,mod,0.011126565,0.707850681,0,0,,,,,,,,1791489
wiki_topcats,leiden-lfr,0.0001,0.174492754,0.842826549,0,0,,,,,,,,1791489
wiki_topcats,leiden-lfr,0.001,0.288816368,0.957745243,0,0,,,,,,,,1791489
