count,type,res,NMI,ARI,AMI
1M,pre-CM,mod,0.75766562,0.07991068,0.609199484
1M,pre-CM,0.0001,0.868367166,0.378588166,0.72681158
1M,pre-CM,0.001,0.954024758,0.841854432,0.876022869
1M,pre-CM,0.01,0.997388232,0.743877113,0.991535687
1M,pre-CM,0.1,0.986998181,0.479863265,0.955855954
1M,pre-CM,0.5,0.948328985,0.236534856,0.791347552
1M,post-CM,mod,0.966652399,0.89913016,0.875470942
1M,post-CM,0.0001,0.975061596,0.865457186,0.922231156
1M,post-CM,0.001,0.975286438,0.917042943,0.92298468
1M,post-CM,0.01,0.98776987,0.736081063,0.958533236
1M,post-CM,0.1,0.974683625,0.46544964,0.908857989
1M,post-CM,0.5,0.927437185,0.208720981,0.678396807
500K,pre-CM,mod,0.781730614,0.112925789,0.643226255
500K,pre-CM,0.0001,0.848821667,0.281561133,0.713540551
500K,pre-CM,0.001,0.947004886,0.777765818,0.86740875
500K,pre-CM,0.01,0.997790704,0.905115021,0.993272256
500K,pre-CM,0.1,0.98744353,0.595445468,0.959973812
500K,pre-CM,0.5,0.946530839,0.306227382,0.79702345
500K,post-CM,mod,0.976987998,0.982877887,0.923114871
500K,post-CM,0.0001,0.960631287,0.678338293,0.888991301
500K,post-CM,0.001,0.965462053,0.849670123,0.902320949
500K,post-CM,0.01,0.987282708,0.897329694,0.9593645
500K,post-CM,0.1,0.973995404,0.578516386,0.911913281
500K,post-CM,0.5,0.924007657,0.270421694,0.682698619
200K,pre-CM,mod,0.805104886,0.163109266,0.680556335
200K,pre-CM,0.0001,0.80606727,0.164264215,0.68148649
200K,pre-CM,0.001,0.933228997,0.66892717,0.849556297
200K,pre-CM,0.01,0.999377917,0.988578702,0.998244424
200K,pre-CM,0.1,0.989924732,0.745033965,0.970475357
200K,pre-CM,0.5,0.947006629,0.412727844,0.815610787
200K,post-CM,mod,0.983232106,0.967250177,0.94945493
200K,post-CM,0.0001,0.900078042,0.277260166,0.781904763
200K,post-CM,0.001,0.947412246,0.723080803,0.871225035
200K,post-CM,0.01,0.987930814,0.979057074,0.96434952
200K,post-CM,0.1,0.976488476,0.727760793,0.927120863
200K,post-CM,0.5,0.923082224,0.368645743,0.706645385
100K,pre-CM,mod,0.820147146,0.238954587,0.714092051
100K,pre-CM,0.0001,0.721230736,0.080969768,0.624228955
100K,pre-CM,0.001,0.923330175,0.653162195,0.845130058
100K,pre-CM,0.01,0.999361483,0.997744934,0.998367893
100K,pre-CM,0.1,0.986648269,0.732599874,0.964208563
100K,pre-CM,0.5,0.937278656,0.387893227,0.797498071
100K,post-CM,mod,0.9753224,0.799765532,0.933304303
100K,post-CM,0.0001,0.773578457,0.095876997,0.654848429
100K,post-CM,0.001,0.933785406,0.692803255,0.858163361
100K,post-CM,0.01,0.9839242,0.983294817,0.957321762
100K,post-CM,0.1,0.971210076,0.714607367,0.91797484
100K,post-CM,0.5,0.910258401,0.342126282,0.678959343
50K,pre-CM,mod,0.835151351,0.303580884,0.742146472
50K,pre-CM,0.0001,0.270614254,0.001110701,0.212428657
50K,pre-CM,0.001,0.906432187,0.575623715,0.829057449
50K,pre-CM,0.01,0.99896138,0.9963927,0.997529692
50K,pre-CM,0.1,0.988883362,0.804413061,0.972528032
50K,pre-CM,0.5,0.934813522,0.431314085,0.805054085
50K,post-CM,mod,0.961598599,0.683227244,0.906755937
50K,post-CM,0.0001,0.354697249,0.001107934,0.215444392
50K,post-CM,0.001,0.916744616,0.613178184,0.840459219
50K,post-CM,0.01,0.983329227,0.98134626,0.95889522
50K,post-CM,0.1,0.973218406,0.787551015,0.929864876
50K,post-CM,0.5,0.906247452,0.382459884,0.68981266
20K,pre-CM,mod,0.861166826,0.522760746,0.791180489
20K,pre-CM,0.0001,,,
20K,pre-CM,0.001,0.868454795,0.532001161,0.799230767
20K,pre-CM,0.01,0.996060231,0.990478241,0.991890688
20K,pre-CM,0.1,0.980070338,0.654562414,0.956259715
20K,pre-CM,0.5,0.922149164,0.357616684,0.794534129
20K,post-CM,mod,0.929960078,0.708653973,0.866899214
20K,post-CM,0.0001,,,
20K,post-CM,0.001,0.87684349,0.5505564,0.806428064
20K,post-CM,0.01,0.98084388,0.980050825,0.959326239
20K,post-CM,0.1,0.961982872,0.637189883,0.911235078
20K,post-CM,0.5,0.892227978,0.319252084,0.68581054
10K,pre-CM,mod,0.87811756,0.564581691,0.822992869
10K,pre-CM,0.0001,,,
10K,pre-CM,0.001,0.786669461,0.271826346,0.72670124
10K,pre-CM,0.01,0.992685375,0.97843251,0.986392942
10K,pre-CM,0.1,0.985239937,0.845521662,0.97103386
10K,pre-CM,0.5,0.914175128,0.433119589,0.792922771
10K,post-CM,mod,0.887427434,0.585114479,0.831247208
10K,post-CM,0.0001,,,
10K,post-CM,0.001,0.792699482,0.275535731,0.729834873
10K,post-CM,0.01,0.978842324,0.966980699,0.95958744
10K,post-CM,0.1,0.966902046,0.830706148,0.931078334
10K,post-CM,0.5,0.880112927,0.384258103,0.677673102
5K,pre-CM,mod,0.884064533,0.560155961,0.831196199
5K,pre-CM,0.0001,,,
5K,pre-CM,0.001,0.314392104,0.006110924,0.24912448
5K,pre-CM,0.01,0.984332193,0.940300989,0.971843247
5K,pre-CM,0.1,0.996703885,0.971955312,0.993786762
5K,pre-CM,0.5,0.944728226,0.651581998,0.880238393
5K,post-CM,mod,0.887874854,0.568365784,0.8342419
5K,post-CM,0.0001,,,
5K,post-CM,0.001,0.332117763,0.006119744,0.248682464
5K,post-CM,0.01,0.966789036,0.921192891,0.938591942
5K,post-CM,0.1,0.973583847,0.951051222,0.946664424
5K,post-CM,0.5,0.90447373,0.588739992,0.772482441
2K,pre-CM,mod,0.914960068,0.778406303,0.882278146
2K,pre-CM,0.0001,,,
2K,pre-CM,0.001,,,
2K,pre-CM,0.01,0.929209617,0.619836703,0.897480245
2K,pre-CM,0.1,0.992320078,0.919856903,0.987427464
2K,pre-CM,0.5,0.927136484,0.539375769,0.862926854
2K,post-CM,mod,0.912780688,0.777798251,0.878048147
2K,post-CM,0.0001,,,
2K,post-CM,0.001,,,
2K,post-CM,0.01,0.922992993,0.616840736,0.887337596
2K,post-CM,0.1,0.96388903,0.899386647,0.937488737
2K,post-CM,0.5,0.883327506,0.487677181,0.755965728
